source,platform_id,note
robinreal,695fb9669ba220265d3629b6,contains ETH-Juniors logo PNG — must be dropped as logo-or-banner
robinreal,69d8f49fcc81b8171a96548d,13 real property photos incl. modern bright living room
robinreal,695fdc5bc12a1d2f41553109,building exterior render (high-res PNG)
structured,37093067,contains Nessel Int'l Luxury Real Estate stock/marketing photo — must be dropped
structured,29387655,9 real interior photos (kitchen-heavy)
structured,36272023,13 diverse real property photos
sred,1154156,montage fixture used for pixel-exact split test — 2x2 (bathroom/living/kitchen/facade)
sred,1188543,another SRED montage
sred,1290164,another SRED montage
sred,1296255,another SRED montage
